year,premonsoon_mm
1981,1176.1179703820446
1982,1048.0312361838205
1983,1047.3713149765563
1984,1144.6515463927744
1985,1064.5848471110703
1986,925.5997392236745
1987,907.7926475187029
1988,1516.713729210431
1989,644.1830476169915
1990,1078.0535963928087
1991,1122.5801425468335
1992,683.9636805896664
1993,1266.5360214706639
1994,845.7302196092339
1995,648.2558069479571
1996,870.3085860866702
1997,878.9769543497694
1998,1235.6514129508025
1999,890.2745501887981
2000,1359.7307767201548
2001,802.870800991884
2002,1312.6574953043569
2003,816.9248853333024
2004,1426.8342314573574
2005,1302.8420951146772
2006,997.7973917814837
2007,1182.9320555196766
2008,714.217877555545
2009,975.2924426264306
2010,1389.0567854628325
2011,814.1004720960017
2012,1124.0837445862785
2013,1104.3724998592554
2014,890.5758263636772
2015,1228.4043469037572
2016,1163.0992023832703
2017,1192.9843072951433
2018,978.6384339018821
2019,1079.6600784429215
2020,747.549760676298
2021,690.3737087955392
2022,828.0211373224004
2023,623.7978213274081
2024,891.1890991306456
