year,PRCPTOT,RX1day,RX5day,R95p,R99p,SDII,CDD,CWD,premonsoon_mm
1950,3201.3758658116694,52.9540194286726,181.93394125401,105.4556620942507,0.0,12.96103589397437,18,122,685.9993596752278
1951,3790.0687791507594,98.9907474715768,310.9889064456448,1205.120034431263,98.9907474715768,17.30625013310849,71,161,1514.6403272479008
1952,3538.392110782781,89.5446536115588,252.51318055662412,611.0812338686642,89.5446536115588,15.12133380676402,44,190,920.1337102088097
1953,4350.255071828973,101.4273215717085,297.71117924638247,704.0556915828763,195.3649956727365,18.511723709910523,41,98,1869.275861687027
1954,3813.4631993400017,68.8448056984138,246.12534692715622,473.19057959207,0.0,18.073285304928916,62,143,1232.9460085254575
1955,3562.06007876948,96.5010988858283,308.57806845149037,906.3872818340849,466.38781018212734,17.043349659184113,39,128,1005.0023794335165
1956,3643.7483503230997,153.6848303508308,406.560233096057,864.1719633000124,355.9468696432248,18.218741751615497,49,149,878.57363977501
1957,3055.012249430917,120.1121009018319,311.9732114089997,554.8985476459702,220.1857554681962,16.603327442559333,67,84,965.6776435148207
1958,4279.776228520244,88.8990029050952,352.79814806116394,1130.2982226098914,88.8990029050952,19.632001048258,42,161,1547.9494134945699
1959,4771.961972221236,153.9043863441138,336.17718447718147,1242.052058622647,423.84108778703404,21.208719876538826,62,152,1321.968482851798
1960,3891.8622814896403,92.7578524774623,321.3813231696448,1162.3617024642047,184.2098674864764,20.1650895413971,60,158,808.9519182810761
1961,3927.5589869796986,122.6323318290928,306.06626352577064,720.038742045051,426.493261144186,16.433301200751878,53,77,1580.4399077569474
1962,3799.4599202234353,211.4138743015491,399.0732299070366,1047.246744001512,609.8632286003167,19.68632083017324,62,131,1262.183044400475
1963,3878.577085405933,117.5288019213029,389.81702355587527,755.1089107927572,117.5288019213029,19.10629106111297,44,102,1131.927947923318
1964,4752.210806136511,116.9947456534762,412.4631498713622,1437.7742616232538,405.7056662807105,21.027481443081907,25,125,1474.8868022740837
1965,3674.934217011776,119.08653116887801,317.3036592282493,877.7694764682541,119.08653116887801,17.253212286440263,36,84,847.0997069553292
1966,3364.6379237013757,94.83489347023679,259.913684696852,681.816930687129,94.83489347023679,17.802317056621035,42,137,632.6132074942436
1967,3778.4316073666755,89.30964183428381,329.1043402765875,726.9483590564959,89.30964183428381,17.992531463650835,36,129,1203.8676699148937
1968,4724.078744412127,117.30878141723659,399.8755980025514,1700.6336492551814,438.15353466127925,21.27963398383841,40,154,2027.957894820982
1969,2898.705989717715,82.4277159075486,267.71790252601164,434.8183042633339,0.0,15.176471150354528,48,109,693.8585812101295
1970,3599.274205279387,96.7984826410609,265.981923554109,557.2965163130214,96.7984826410609,17.13940097752089,48,108,810.9154912515539
1971,3731.4422513060235,88.26491768803619,254.81438323390216,717.6967670346827,88.26491768803619,16.884354078307798,44,118,1238.4078502610537
1972,3632.096268446218,132.5908966504597,476.9375725880632,877.3532936780573,448.0333087793332,17.631535283719504,37,89,1235.5797254202691
1973,4488.119559170999,107.06505499693999,331.6506907615479,1205.384457242401,206.617638685697,19.771451802515415,24,181,1766.7291367915639
1974,3990.614724740866,112.1405211115859,305.3943607668777,406.26111270784895,211.930279644653,17.89513329480209,32,123,1314.4551254726562
1975,3533.327898285459,110.2272736079087,296.66916495805253,803.5805116115716,209.1521191140821,16.510878029371305,49,82,1235.752820637058
1976,3691.9914668237852,140.3089087286117,519.6410014165679,977.6437732760953,496.6083399376622,17.749958975114353,32,138,1000.7108705561864
1977,3932.2482286277427,107.1393694068625,343.0208387759386,935.4152855254486,384.7949396785265,18.037835911136433,32,134,1797.809389028574
1978,3061.2381262338267,102.6922142625241,278.2159276857416,491.85092094028437,200.8571126538992,15.306190631169134,49,103,1025.5153687681086
1979,2945.5238243375898,93.0306874499844,292.9712638886459,605.3736847648862,180.7790212695759,15.183112496585514,38,62,498.8760179927351
1980,3644.4971629628344,89.2392135626786,346.5277545829959,486.6393537111932,89.2392135626786,16.951149595175973,68,138,1514.8122722061144
1981,2772.9600606463036,68.1582945162854,215.24990886919056,226.51170294380998,0.0,13.93447266656434,34,135,1008.2844137698974
1982,3105.4615574345617,73.4851744043172,226.70727441098128,312.3364866772747,0.0,15.925443884279803,47,105,959.3014095355217
1983,4598.788383084209,129.8901612904902,514.4018122504808,1502.520157657863,446.8749052623939,20.439059480374265,36,108,1958.4837702062487
1984,4022.0178852048602,103.2799087000547,384.10876807617757,1014.9794397964671,201.37992732964182,20.52049941431051,61,113,1567.8420063209205
1985,3344.0280679184693,110.66159617384639,219.80916845211797,566.032271376998,110.66159617384639,15.69966229069704,65,113,1270.13238102228
1986,3603.637986283181,152.1636534710496,274.173394866888,603.7708412257726,264.4455647475296,17.493388282928063,33,143,1136.1980335909386
1987,3365.430939131702,106.9568318998524,244.2070470712058,823.8951037292018,389.80313030335765,16.497210485939714,27,127,945.6149379673546
1988,4412.7301621547085,174.1853526096359,467.6218163255894,1136.5685988414139,538.8419042673327,21.631030206640727,47,138,1344.7827908315714
1989,3710.5658876904517,157.3940571155672,464.7520612458624,729.1555564599109,613.6115365053956,17.502669281558735,53,147,1054.7485147243628
1990,3934.2817288890174,142.1981617734976,233.225044183441,728.8193119497482,142.1981617734976,17.563757718254543,36,140,1467.52677872289
1991,4606.449066509318,146.36055536772,554.1659952176767,1125.6924321757583,683.0253740874077,20.656722271342232,52,119,2107.6396775701037
1992,2884.8845403740324,52.2340020864068,177.9229995877845,102.88275551798259,0.0,13.480768880252487,29,89,771.3542905511541
1993,4840.101564512935,118.0334826545908,401.1453169669056,1643.940190781281,306.04417095389863,21.511562508946376,57,153,1642.590643080333
1994,3406.515503472714,113.0194938328334,261.9760142316203,430.25574231692417,113.0194938328334,16.144623239207174,43,144,1232.1646429834964
1995,3738.169309021052,99.37132397052869,304.92151986572287,954.6326906713499,368.63588713971757,16.83860049108582,28,168,901.3056061098804
1996,4167.932590108625,112.08449078699539,359.5447837598119,821.78144417413,223.90783426968608,19.660059387304834,54,139,1470.1117966789657
1997,3461.686396135683,105.9672109119465,332.71414205941676,500.1129871732101,105.9672109119465,15.952471871593009,30,129,843.4568201581725
1998,4035.369811582997,127.14758179930722,277.01075479358167,989.4112137278385,331.45268811883284,18.945398176445995,37,137,1362.9729021195915
1999,3329.962421823516,105.2613990309276,260.6627529456215,763.5682442526613,196.1218723253201,16.566977223002567,70,112,1023.9013205074821
2000,3915.892007952876,106.0242712074632,330.52117557605817,964.4917207248266,106.0242712074632,18.129129666448502,63,85,1610.9472693415582
2001,3331.9966220478436,94.494641989125,292.71080989939014,539.6577450827467,94.494641989125,15.425910287258535,50,159,935.9808268330961
2002,4027.7955673878737,89.0792194138028,265.5172582578033,758.2242511083233,89.0792194138028,18.821474613962028,36,150,1392.1084090080967
2003,3442.6942427023346,109.5569602132026,381.9410622256664,669.2659222881712,211.3939626602239,16.316086458304902,50,63,886.0591404529002
2004,4615.711705742977,127.8594662635209,528.1300279314758,1842.8814342284254,744.6066235173898,22.19092166222585,38,125,1744.8186306217817
2005,3034.7126521255022,66.7854577728158,196.3374769337998,232.0528198899658,0.0,13.984850931453927,46,144,1151.9271892724068
2006,2757.9334162852706,79.7874137031327,254.5879694459784,495.21433918728997,0.0,14.364236543152451,51,104,950.1100701861574
2007,4139.087104284045,118.2619356091667,287.4221926663379,1132.8318239737891,205.3560157188112,19.523995774924742,45,137,1046.4065571859426
2008,3094.0496615837783,57.347107195871395,143.5673093557783,57.347107195871395,0.0,14.87523875761432,65,140,731.6703110477739
2009,3143.091790572242,87.2190615694129,238.3908053085904,519.6986537334492,87.2190615694129,15.332155075962158,43,126,698.7407557046593
2010,4262.405787107124,119.62950868101919,298.25699977295835,1031.1269982996466,412.72468232856437,19.46304012377682,47,172,1728.2861534744163
2011,2914.201417419157,91.72573247774241,236.8311352010416,420.44510767849056,91.72573247774241,14.215616670337353,45,138,897.3815398997276
2012,3614.9724263098233,112.2736182211976,272.3863966519025,448.8794038772507,204.409226863041,16.81382523865034,39,120,999.1181702425645
2013,3135.5907777117445,134.1914824718351,445.57812775361725,675.2749365692539,261.2725389569884,15.99791213118237,51,47,1383.1205681221409
2014,2873.6091322163466,135.4915930119725,425.19352412722753,662.0663454101224,135.4915930119725,15.366893755167629,66,135,624.8694625778264
2015,3787.925236093602,118.4764593124507,341.29489479053143,910.58145016566,313.8045643107939,17.952252303761146,32,129,1094.883223790873
2016,3950.5341684935947,95.9215333461614,324.2097981533637,980.7664361328642,191.3748318069973,17.10187951728829,40,79,1679.3383937869191
2017,4520.973756470885,166.2640631491738,396.5988480835191,1565.8137278417576,364.8321779945519,20.18291855567359,50,128,1653.9196457783
2018,2726.144766809027,80.3135846547471,253.87129504407451,261.0621184626663,0.0,12.798801722108108,52,100,941.5973099241472
2019,2903.644975040822,76.13147090065341,239.94508988332217,270.60589185640833,0.0,13.505325465306148,44,54,812.5627374965059
2020,3143.484063340251,95.17847724082081,199.7356560049659,389.7836579483327,95.17847724082081,14.96897173019167,40,107,737.0384023425803
2021,2569.9517313283513,57.011862845159,209.66070535622478,215.33745211459416,0.0,13.526061743833429,44,116,512.3076948527029
2022,2669.5037005647955,59.8411066325934,264.0250607518977,171.1501712894871,0.0,12.245429819104567,61,94,804.861242307987
2023,2951.838770571825,160.75757052167998,278.3428882076135,421.1576486201433,277.7203100866907,15.701270056233112,51,83,548.8403923236834
2024,3597.1031027943013,157.9108350979925,338.4606740078105,1049.2393123374673,535.6622586656252,17.807441102942086,56,122,868.0528111461728
