year,premonsoon_mm
1950,685.9993596752278
1951,1514.6403272479008
1952,920.1337102088097
1953,1869.275861687027
1954,1232.9460085254575
1955,1005.0023794335165
1956,878.57363977501
1957,965.6776435148207
1958,1547.9494134945699
1959,1321.968482851798
1960,808.9519182810761
1961,1580.4399077569474
1962,1262.183044400475
1963,1131.927947923318
1964,1474.8868022740837
1965,847.0997069553292
1966,632.6132074942436
1967,1203.8676699148937
1968,2027.957894820982
1969,693.8585812101295
1970,810.9154912515539
1971,1238.4078502610537
1972,1235.5797254202691
1973,1766.7291367915639
1974,1314.4551254726562
1975,1235.752820637058
1976,1000.7108705561864
1977,1797.809389028574
1978,1025.5153687681086
1979,498.8760179927351
1980,1514.8122722061144
1981,1008.2844137698974
1982,959.3014095355217
1983,1958.4837702062487
1984,1567.8420063209205
1985,1270.13238102228
1986,1136.1980335909386
1987,945.6149379673546
1988,1344.7827908315714
1989,1054.7485147243628
1990,1467.52677872289
1991,2107.6396775701037
1992,771.3542905511541
1993,1642.590643080333
1994,1232.1646429834964
1995,901.3056061098804
1996,1470.1117966789657
1997,843.4568201581725
1998,1362.9729021195915
1999,1023.9013205074821
2000,1610.9472693415582
2001,935.9808268330961
2002,1392.1084090080967
2003,886.0591404529002
2004,1744.8186306217817
2005,1151.9271892724068
2006,950.1100701861574
2007,1046.4065571859426
2008,731.6703110477739
2009,698.7407557046593
2010,1728.2861534744163
2011,897.3815398997276
2012,999.1181702425645
2013,1383.1205681221409
2014,624.8694625778264
2015,1094.883223790873
2016,1679.3383937869191
2017,1653.9196457783
2018,941.5973099241472
2019,812.5627374965059
2020,737.0384023425803
2021,512.3076948527029
2022,804.861242307987
2023,548.8403923236834
2024,868.0528111461728
