year,PRCPTOT,RX1day,RX5day,R95p,R99p,SDII,CDD,CWD,premonsoon_mm
1950,2504.661321474634,45.2939681995257,156.1024221003708,225.8742114560854,45.2939681995257,9.860871344388322,19,168,436.1780716005127
1951,2486.1007870617805,45.8740927751579,165.8926392218205,325.26592882289117,135.751013452614,10.534325368905849,38,167,648.5533295496816
1952,2527.827877440478,57.456805238718104,132.3405716349433,264.2790268191916,57.456805238718104,10.192854344518057,26,197,593.0856340418469
1953,2721.7267909318975,55.0169084378997,170.8234324706852,249.1431290993032,150.0579654222298,10.715459806818494,39,187,964.9478363444899
1954,2463.9776385329396,43.0775063853239,163.5652654945288,467.5571139012344,43.0775063853239,11.407303882096942,53,169,614.0544711338447
1955,2296.673207055798,67.88969696692409,133.14230635628638,359.51291455331966,164.3651299186942,10.682200963050223,25,152,519.9044004469808
1956,2621.157148297657,82.6601475865904,253.59559399082912,831.6730138449909,288.29944186707235,12.912104178806192,47,160,588.255390181595
1957,2011.6333501753218,44.8881242113929,134.0610689047685,329.04591295975854,44.8881242113929,10.477257032163134,44,85,391.7687627366115
1958,2739.0779584542306,50.2096752036474,170.4645882912657,449.55270490807357,141.7247732956696,11.80637051057858,26,184,729.7743052046754
1959,3319.2219649523945,77.5872376547013,193.5890101880187,890.6560664652869,322.29657238976097,14.30699122824308,37,174,755.4310530046345
1960,2822.9501858661815,59.6580932174264,202.71226862371788,996.2434100445086,312.5413183106122,14.185679325960711,43,164,467.99872136203334
1961,2646.6921820523858,66.6592941560876,174.0541711258319,330.08849811362063,166.99062230288968,10.502746754176133,30,176,749.9820668018119
1962,2429.1697548719944,71.19468549598521,231.81461790892303,429.6345007157318,328.18301339963665,11.678700744576897,61,146,573.4023706742989
1963,2726.740466151338,70.0239739457697,242.1281838928257,734.6512337672955,322.9910990886851,12.74177787921186,44,174,678.3453009392999
1964,2830.4937351133444,59.5175430739339,164.7753121474479,595.183268752286,104.4099750298555,12.253219632525301,34,148,668.7760662157674
1965,2688.7165974582285,53.6791777149954,234.30490348110771,726.7384637600736,389.72162142661637,11.896976094947913,34,122,479.0909479394252
1966,2481.7491617404703,76.6031554718693,169.3143886115763,592.7212710731807,267.7321809437839,12.471101315278744,39,140,356.50021357685614
1967,2614.152421900137,47.2801191816154,193.8661889799421,529.9749367651918,224.7556740846019,12.10255750879693,29,128,694.7888965858456
1968,2846.4079851712645,60.9059200854114,205.4980061446995,698.0796652507522,155.2773126660618,12.539242225424072,45,156,866.4512271655917
1969,2081.895023491569,59.304022016892795,173.75774253730208,317.6418599649604,106.4140867509196,10.409475117457847,48,153,421.73085587312886
1970,2473.5017982850454,59.8224947418243,150.28062002009148,447.1394215131494,156.4189271142027,10.707799992575953,47,147,403.347130782694
1971,2674.2839419697366,41.2101093803457,126.54419391900291,300.6772584156304,0.0,11.379931667956326,35,211,655.3953387757405
1972,2198.7451870636132,57.0813963999734,248.47055689689728,391.38095995066965,258.4677933598583,10.42059330361902,34,96,557.9616758285284
1973,2918.9990177199593,47.2154033250522,156.49668654410831,415.5793128120565,134.3528221057095,12.162495907166496,26,195,816.333172585129
1974,2800.0284790937594,67.93116865699531,172.55573958870002,361.60402911125186,168.44435610384332,11.715600330936232,32,139,799.339012354105
1975,2402.9835244573806,55.927020641243,149.91833778994481,465.36501060988394,55.927020641243,10.72760501989902,33,177,605.203581516005
1976,2336.248156542061,74.285873018076,294.1977527486719,492.2909673855858,255.5122788689128,11.452196845794418,32,137,507.156220474509
1977,2412.742723907605,48.132312168461404,132.1495315964583,282.63158655741256,48.132312168461404,10.3997531202914,31,158,808.94519316807
1978,2139.557962227588,80.41409267726,184.51691696022382,311.526621657788,169.1224793574448,10.488029226605825,49,125,576.7513109745017
1979,2032.666954902793,57.1681140587108,195.0762264075482,420.5861752797629,212.1237160370139,10.163334774513965,29,131,268.53766794458494
1980,2385.062195360626,45.164220108406695,156.95821609484742,308.26012116114396,45.164220108406695,10.792136630591068,70,176,744.4803915489881
1981,1936.4774009647754,36.6458917385199,134.7135555973456,68.0747611399539,0.0,8.493321934056032,20,162,673.6597067009795
1982,2001.2432331257955,51.5692137419933,148.8701606463804,230.4917636810428,51.5692137419933,9.529729681551407,36,129,440.09132646222577
1983,2835.935085397464,55.7803365642963,187.5621144666128,653.4667853422637,195.99482263802938,11.965970824461873,32,142,873.6552860013061
1984,2551.4382168492984,50.20879728655591,200.1897202744652,600.590322126827,140.362940259427,12.385622411889798,50,162,776.7235663451463
1985,2144.288097355977,57.8253491734923,139.9202943288827,173.12201767798723,104.8767935726122,9.791269850940534,36,148,627.6626569639827
1986,2407.544375011047,63.4964454227849,160.2317388172389,415.49439667411474,107.5594524674244,11.519351076607881,33,135,535.0224662670315
1987,2209.4895932623513,57.5668303325641,138.1920127167504,633.9180814053418,151.4668871827459,10.373190578696486,26,138,440.6989810752042
1988,2783.0935485867103,63.1397867526399,229.0087771322426,686.0832596498616,216.6342099699266,12.650425220848684,33,179,705.9943935956771
1989,2353.07366833565,85.9969794038216,182.12314861566426,408.15528917102324,141.1058898945367,11.152007906804029,53,154,474.52450464406155
1990,2766.363432984728,58.2999123228052,133.09174155522447,250.24405360118908,108.7889314182287,11.431253855308794,35,152,821.7607674795456
1991,2792.802052132781,42.4283349614911,157.3467412690673,397.3074148596674,0.0,12.090052173734982,48,179,926.5644186330977
1992,2002.8748752180609,32.4325330416817,119.5972736995909,32.4325330416817,0.0,8.48675794583924,28,192,397.53942337257126
1993,3159.532672948805,86.73238394127331,221.8130306673804,748.3672500336984,235.89493995366382,13.275347365331115,44,155,919.918396564346
1994,2343.1799351904874,37.7521151804444,118.4442189907676,263.955635729698,0.0,10.46062471067182,31,148,621.0033477054676
1995,2706.379009085106,89.99147081022029,194.6808492738535,734.7475949514902,446.3134529239538,11.467707665614856,28,146,518.1401647045733
1996,2586.6035270273806,57.168921271543205,152.06682441315562,362.6796065549624,187.0627599283892,11.975016328830465,54,173,659.7532884919567
1997,2400.599542962327,75.08026042610861,230.5115527959309,422.9972584697724,231.05663911482992,10.303002330310417,28,188,540.417959903318
1998,2703.810311706945,55.487235518266395,162.68683519761768,490.92036988304494,152.8504051035398,11.858817156609408,36,123,847.7301400804851
1999,2449.9295945718495,56.3619502472219,163.191017253995,517.3176240706865,56.3619502472219,11.778507666210816,61,168,608.5903663527248
2000,2563.780313455111,45.1026530218362,161.6482838826944,555.8064057887609,45.1026530218362,11.29418640288595,32,146,857.4289298860981
2001,2446.8017537123806,47.6062413941358,194.7206334151868,365.35187176982924,138.6320832548297,11.02162952122694,49,160,655.0457426380232
2002,2694.800190354256,55.8979521170948,141.1580970698622,451.99269051211434,100.4792618654818,11.665801689845264,25,189,770.6583154576546
2003,2363.4620179943295,54.9545670739912,208.3610109163312,377.9837869480489,107.3507787789834,10.187336284458317,46,134,501.6252292599129
2004,2828.2858316901397,54.8416808322547,186.6060919377772,899.5706300842544,245.8743156428397,13.340970904198773,37,155,792.1844831491896
2005,2100.2046769128256,47.1063660029397,101.6580712549465,76.1279358685304,47.1063660029397,8.899172359800108,42,187,567.699798175421
2006,1929.8673736381838,41.6425474973169,141.136055044905,105.5720390072525,0.0,9.103147988859357,44,109,563.5937592634792
2007,2843.2605395149058,65.5464394327725,215.75239578289052,801.393135288852,251.0928271370606,12.636713508955136,30,141,556.3048767476326
2008,2316.187503070297,35.2491236668475,112.4983090694898,64.2814438415282,0.0,10.386491045158284,50,157,434.32761793143004
2009,2136.9048972128594,39.859684172772695,141.08882147379322,299.01705822728985,0.0,10.423926327867607,42,144,437.4371640225053
2010,2658.607569557813,69.1777407537101,140.4468444563089,391.0835932381732,69.1777407537101,11.660559515604442,47,192,815.6301258394781
2011,2323.8823593123743,45.719911739419295,168.9617064230975,290.450217175223,45.719911739419295,10.758714626446178,45,181,602.9854887253439
2012,2294.499342214727,45.229124297315096,143.6461770732135,369.67630274070757,45.229124297315096,10.573729687625471,39,159,477.86375301189986
2013,2207.7054434339802,43.2462086599944,169.5083997882728,242.81137717389595,43.2462086599944,10.613968478047981,51,167,726.659485408498
2014,1949.7984563008833,46.6682303273899,191.7576655635423,269.81908007337665,46.6682303273899,9.947951307657569,63,131,315.68578380713086
2015,2715.7132717103696,55.9195109864756,153.8000977957773,682.8207215877773,197.98252222928141,12.178086420225872,28,144,575.5361758127368
2016,2568.9937391425674,61.799278989193304,148.057647864832,252.3704649838624,61.799278989193304,10.571990696059949,48,100,805.706628065924
2017,2938.6272783401864,66.9416928609689,160.2434913313727,752.4039361685802,367.51549643114737,12.451810501441468,23,190,803.5686862203862
2018,2035.2144256391537,62.3609022701481,198.9384333751903,179.0206094250698,112.3126453127185,8.965702315590985,41,161,575.966890771321
2019,2192.3017799406834,35.8091159257014,155.9796397665818,256.7252014275231,0.0,9.657717092249706,44,157,487.2732191215495
2020,2287.4646974855777,63.7134874267109,128.1654159612813,321.1493742172665,166.5372329991747,10.211895970917757,40,131,508.70446650104435
2021,1927.4001484699188,32.9905336869879,108.34279941347911,121.7133388201709,0.0,9.134597860047009,43,163,317.2518987242064
2022,1975.5041219377472,49.9799915783095,167.8974902360047,217.8774818143142,49.9799915783095,8.664491762884856,61,169,525.0194739155801
2023,2026.5598553905945,51.6881510001165,139.4926607231889,306.57515306417116,96.92577627114099,9.934116938189188,38,130,357.9328766480715
2024,2565.916367664133,93.3562837372842,204.88215163838112,748.9465618138534,333.54230523959103,11.770258567266664,31,128,501.3000082955433
