year,premonsoon_mm
1950,436.1780716005127
1951,648.5533295496816
1952,593.0856340418469
1953,964.9478363444899
1954,614.0544711338447
1955,519.9044004469808
1956,588.255390181595
1957,391.7687627366115
1958,729.7743052046754
1959,755.4310530046345
1960,467.99872136203334
1961,749.9820668018119
1962,573.4023706742989
1963,678.3453009392999
1964,668.7760662157674
1965,479.0909479394252
1966,356.50021357685614
1967,694.7888965858456
1968,866.4512271655917
1969,421.73085587312886
1970,403.347130782694
1971,655.3953387757405
1972,557.9616758285284
1973,816.333172585129
1974,799.339012354105
1975,605.203581516005
1976,507.156220474509
1977,808.94519316807
1978,576.7513109745017
1979,268.53766794458494
1980,744.4803915489881
1981,673.6597067009795
1982,440.09132646222577
1983,873.6552860013061
1984,776.7235663451463
1985,627.6626569639827
1986,535.0224662670315
1987,440.6989810752042
1988,705.9943935956771
1989,474.52450464406155
1990,821.7607674795456
1991,926.5644186330977
1992,397.53942337257126
1993,919.918396564346
1994,621.0033477054676
1995,518.1401647045733
1996,659.7532884919567
1997,540.417959903318
1998,847.7301400804851
1999,608.5903663527248
2000,857.4289298860981
2001,655.0457426380232
2002,770.6583154576546
2003,501.6252292599129
2004,792.1844831491896
2005,567.699798175421
2006,563.5937592634792
2007,556.3048767476326
2008,434.32761793143004
2009,437.4371640225053
2010,815.6301258394781
2011,602.9854887253439
2012,477.86375301189986
2013,726.659485408498
2014,315.68578380713086
2015,575.5361758127368
2016,805.706628065924
2017,803.5686862203862
2018,575.966890771321
2019,487.2732191215495
2020,508.70446650104435
2021,317.2518987242064
2022,525.0194739155801
2023,357.9328766480715
2024,501.3000082955433
