event_id,district,exposed_population,total_population_district,exposure_fraction_pct,flooded_km2,cropland_km2,built_up_km2,haor_km2
ev_2017_apr,Habiganj,144860,2081095,6.96,268.7,218.9,0.05,38.7
ev_2017_apr,Maulvibazar,174873,1870919,9.35,346.2,249.7,0.0,82.5
ev_2017_apr,Sunamganj,901473,2488799,36.22,1859.5,1079.1,0.05,677.9
ev_2017_apr,Sylhet,641138,3815283,16.8,1020.0,797.1,0.07,157.8
ev_2019_jul,Habiganj,135341,2081095,6.5,255.5,240.9,0.01,6.9
ev_2019_jul,Maulvibazar,0,1870919,0.0,0.0,0.0,0.0,0.0
ev_2019_jul,Sunamganj,433300,2488799,17.41,812.1,589.2,0.03,169.6
ev_2019_jul,Sylhet,0,3815283,0.0,0.0,0.0,0.0,0.0
ev_2020_jul,Habiganj,125551,2081095,6.03,213.9,206.2,0.01,2.7
ev_2020_jul,Maulvibazar,0,1870919,0.0,0.0,0.0,0.0,0.0
ev_2020_jul,Sunamganj,187607,2488799,7.54,281.1,244.4,0.01,15.0
ev_2020_jul,Sylhet,0,3815283,0.0,0.0,0.0,0.0,0.0
ev_2022_may,Habiganj,91628,2081095,4.4,139.8,126.5,0.0,8.8
ev_2022_may,Maulvibazar,182800,1870919,9.77,290.3,236.6,0.01,45.9
ev_2022_may,Sunamganj,685672,2488799,27.55,1339.3,702.0,0.02,575.3
ev_2022_may,Sylhet,884937,3815283,23.19,1304.9,1123.0,0.14,112.1
ev_2022_jun,Habiganj,765030,2081095,36.76,1297.8,1199.6,0.06,72.1
ev_2022_jun,Maulvibazar,401109,1870919,21.44,683.8,575.5,0.01,90.0
ev_2022_jun,Sunamganj,1567870,2488799,63.0,2866.5,1925.8,0.09,793.0
ev_2022_jun,Sylhet,1274374,3815283,33.4,1749.0,1515.5,0.33,116.3
ev_2023_may,Habiganj,19396,2081095,0.93,27.9,26.7,0.0,0.9
ev_2023_may,Maulvibazar,14441,1870919,0.77,24.5,17.3,0.0,6.6
ev_2023_may,Sunamganj,34484,2488799,1.39,63.7,24.0,0.0,36.2
ev_2023_may,Sylhet,240141,3815283,6.29,351.3,302.9,0.01,32.7
ev_2024_jul,Habiganj,407236,2081095,19.57,787.3,704.8,0.04,69.3
ev_2024_jul,Maulvibazar,311014,1870919,16.62,529.0,450.1,0.0,63.9
ev_2024_jul,Sunamganj,1425572,2488799,57.28,2705.5,1746.0,0.06,830.3
ev_2024_jul,Sylhet,1255429,3815283,32.91,1835.5,1570.7,0.26,145.2
