window_days,threshold_mm,FPR,POD
1,109.7000,0.0013,0.0094
1,94.8000,0.0027,0.0157
1,88.6000,0.0041,0.0188
1,81.7000,0.0055,0.0188
1,77.3000,0.0069,0.0282
1,73.7000,0.0083,0.0313
1,69.8000,0.0095,0.0439
1,66.9000,0.0109,0.0470
1,64.5000,0.0123,0.0596
1,63.1000,0.0136,0.0596
1,60.7000,0.0150,0.0658
1,58.7000,0.0164,0.0721
1,57.4000,0.0177,0.0752
1,56.2000,0.0192,0.0815
1,55.0000,0.0204,0.0909
1,53.5000,0.0219,0.0940
1,52.3000,0.0232,0.0972
1,51.2000,0.0246,0.1034
1,50.2000,0.0261,0.1066
1,49.0000,0.0272,0.1254
1,48.1000,0.0288,0.1254
1,47.0000,0.0302,0.1254
1,46.0000,0.0315,0.1317
1,45.1000,0.0329,0.1348
1,44.2000,0.0345,0.1348
1,43.1000,0.0358,0.1379
1,42.6000,0.0369,0.1379
1,41.9000,0.0386,0.1473
1,41.3000,0.0399,0.1567
1,40.6000,0.0413,0.1630
1,39.9000,0.0429,0.1661
1,39.2000,0.0442,0.1755
1,38.7000,0.0453,0.1818
1,37.9000,0.0469,0.1818
1,37.3000,0.0481,0.1944
1,36.7000,0.0496,0.2006
1,36.3000,0.0506,0.2038
1,35.9000,0.0522,0.2100
1,35.5000,0.0539,0.2100
1,35.0000,0.0551,0.2132
1,34.4000,0.0562,0.2163
1,34.0000,0.0578,0.2194
1,33.4000,0.0594,0.2288
1,33.0000,0.0604,0.2382
1,32.5000,0.0622,0.2382
1,32.1000,0.0634,0.2414
1,31.7000,0.0646,0.2539
1,31.4000,0.0660,0.2571
1,31.0000,0.0672,0.2665
1,30.5000,0.0689,0.2665
1,30.0000,0.0703,0.2727
1,29.6000,0.0716,0.2790
1,29.2000,0.0731,0.2790
1,28.9000,0.0741,0.2884
1,28.4000,0.0757,0.2915
1,27.9000,0.0775,0.2915
1,27.6000,0.0785,0.2915
1,27.2000,0.0801,0.2915
1,26.8000,0.0814,0.2978
1,26.6000,0.0823,0.3009
1,26.2000,0.0842,0.3103
1,25.9000,0.0853,0.3166
1,25.6000,0.0866,0.3229
1,25.3000,0.0881,0.3292
1,25.0000,0.0894,0.3386
1,24.7000,0.0909,0.3448
1,24.3000,0.0923,0.3480
1,23.9000,0.0941,0.3480
1,23.7000,0.0952,0.3480
1,23.4000,0.0970,0.3480
1,23.2000,0.0978,0.3511
1,22.9000,0.0996,0.3542
1,22.6000,0.1009,0.3605
1,22.3000,0.1022,0.3605
1,22.0000,0.1041,0.3636
1,21.8000,0.1053,0.3636
1,21.5000,0.1068,0.3668
1,21.3000,0.1083,0.3668
1,21.1000,0.1093,0.3730
1,20.8000,0.1110,0.3824
1,20.5000,0.1124,0.3824
1,20.2000,0.1138,0.3887
1,19.9000,0.1150,0.3950
1,19.7000,0.1160,0.4013
1,19.4000,0.1178,0.4075
1,19.1000,0.1192,0.4138
1,18.9000,0.1207,0.4138
1,18.6000,0.1223,0.4138
1,18.4000,0.1237,0.4232
1,18.2000,0.1249,0.4232
1,17.9000,0.1267,0.4295
1,17.6000,0.1279,0.4326
1,17.4000,0.1293,0.4389
1,17.3000,0.1303,0.4451
1,17.1000,0.1317,0.4451
1,16.8000,0.1333,0.4514
1,16.6000,0.1350,0.4514
1,16.4000,0.1361,0.4514
1,16.2000,0.1374,0.4545
1,16.0000,0.1388,0.4608
2,188.9000,0.0017,0.0031
2,158.7000,0.0032,0.0094
2,145.7000,0.0048,0.0157
2,138.0000,0.0062,0.0345
2,129.1000,0.0077,0.0408
2,123.4000,0.0093,0.0470
2,117.7000,0.0109,0.0533
2,113.3000,0.0124,0.0627
2,110.0000,0.0140,0.0690
2,107.3000,0.0156,0.0721
2,102.9000,0.0171,0.0784
2,100.0000,0.0187,0.0846
2,97.8000,0.0203,0.0940
2,95.2000,0.0220,0.0972
2,92.1000,0.0235,0.1003
2,89.8000,0.0251,0.1034
2,88.1000,0.0267,0.1066
2,85.6000,0.0281,0.1254
2,83.7000,0.0298,0.1285
2,82.5000,0.0313,0.1348
2,80.6000,0.0328,0.1473
2,78.9000,0.0342,0.1599
2,77.8000,0.0359,0.1599
2,76.0000,0.0376,0.1599
2,74.3000,0.0393,0.1630
2,73.4000,0.0407,0.1693
2,72.4000,0.0423,0.1755
2,71.2000,0.0440,0.1881
2,69.8000,0.0456,0.1912
2,69.0000,0.0471,0.1944
2,68.1000,0.0488,0.2006
2,67.2000,0.0502,0.2038
2,66.4000,0.0518,0.2100
2,65.5000,0.0536,0.2132
2,64.6000,0.0552,0.2163
2,63.5000,0.0568,0.2163
2,62.7000,0.0586,0.2257
2,62.0000,0.0601,0.2257
2,60.9000,0.0615,0.2320
2,60.3000,0.0632,0.2320
2,59.5000,0.0646,0.2382
2,58.7000,0.0663,0.2476
2,57.9000,0.0680,0.2508
2,57.1000,0.0696,0.2602
2,56.3000,0.0713,0.2602
2,55.6000,0.0731,0.2633
2,55.1000,0.0746,0.2633
2,54.4000,0.0764,0.2696
2,53.8000,0.0777,0.2759
2,53.1000,0.0794,0.2790
2,52.2000,0.0811,0.2884
2,51.6000,0.0827,0.2884
2,51.1000,0.0842,0.2947
