window_days,threshold_mm,H,F,M,C,POD,FAR,CSI,HSS,ETS,FPR
1,16.0000,147,2187,172,13565,0.4608,0.9370,0.0587,0.0786,0.0409,0.1388
1,16.2000,145,2165,174,13587,0.4545,0.9372,0.0584,0.0782,0.0407,0.1374
1,16.4000,144,2144,175,13608,0.4514,0.9371,0.0585,0.0784,0.0408,0.1361
1,16.6000,144,2126,175,13626,0.4514,0.9366,0.0589,0.0792,0.0412,0.1350
1,16.8000,144,2099,175,13653,0.4514,0.9358,0.0596,0.0805,0.0419,0.1333
1,17.1000,142,2075,177,13677,0.4451,0.9359,0.0593,0.0801,0.0417,0.1317
1,17.3000,142,2053,177,13699,0.4451,0.9353,0.0599,0.0811,0.0423,0.1303
1,17.4000,140,2037,179,13715,0.4389,0.9357,0.0594,0.0803,0.0418,0.1293
1,17.6000,138,2014,181,13738,0.4326,0.9359,0.0592,0.0799,0.0416,0.1279
1,17.9000,137,1996,182,13756,0.4295,0.9358,0.0592,0.0800,0.0417,0.1267
1,18.2000,135,1967,184,13785,0.4232,0.9358,0.0591,0.0798,0.0416,0.1249
1,18.4000,135,1949,184,13803,0.4232,0.9352,0.0595,0.0807,0.0421,0.1237
1,18.6000,132,1927,187,13825,0.4138,0.9359,0.0588,0.0794,0.0413,0.1223
1,18.9000,132,1901,187,13851,0.4138,0.9351,0.0595,0.0807,0.0420,0.1207
1,19.1000,132,1878,187,13874,0.4138,0.9343,0.0601,0.0819,0.0427,0.1192
1,19.4000,130,1856,189,13896,0.4075,0.9345,0.0598,0.0814,0.0424,0.1178
1,19.7000,128,1828,191,13924,0.4013,0.9346,0.0596,0.0812,0.0423,0.1160
1,19.9000,126,1812,193,13940,0.3950,0.9350,0.0591,0.0803,0.0418,0.1150
1,20.2000,124,1793,195,13959,0.3887,0.9353,0.0587,0.0796,0.0414,0.1138
1,20.5000,122,1771,197,13981,0.3824,0.9356,0.0584,0.0790,0.0411,0.1124
1,20.8000,122,1749,197,14003,0.3824,0.9348,0.0590,0.0802,0.0418,0.1110
1,21.1000,119,1722,200,14030,0.3730,0.9354,0.0583,0.0790,0.0411,0.1093
1,21.3000,117,1706,202,14046,0.3668,0.9358,0.0578,0.0781,0.0406,0.1083
1,21.5000,117,1682,202,14070,0.3668,0.9350,0.0585,0.0794,0.0414,0.1068
1,21.8000,116,1659,203,14093,0.3636,0.9346,0.0586,0.0798,0.0416,0.1053
1,22.0000,116,1639,203,14113,0.3636,0.9339,0.0592,0.0810,0.0422,0.1041
1,22.3000,115,1610,204,14142,0.3605,0.9333,0.0596,0.0818,0.0426,0.1022
1,22.6000,115,1589,204,14163,0.3605,0.9325,0.0603,0.0830,0.0433,0.1009
1,22.9000,113,1569,206,14183,0.3542,0.9328,0.0599,0.0823,0.0429,0.0996
1,23.2000,112,1541,207,14211,0.3511,0.9322,0.0602,0.0831,0.0433,0.0978
1,23.4000,111,1528,208,14224,0.3480,0.9323,0.0601,0.0829,0.0432,0.0970
1,23.7000,111,1499,208,14253,0.3480,0.9311,0.0611,0.0848,0.0443,0.0952
1,23.9000,111,1483,208,14269,0.3480,0.9304,0.0616,0.0858,0.0448,0.0941
1,24.3000,111,1454,208,14298,0.3480,0.9291,0.0626,0.0878,0.0459,0.0923
1,24.7000,110,1432,209,14320,0.3448,0.9287,0.0628,0.0882,0.0461,0.0909
1,25.0000,108,1409,211,14343,0.3386,0.9288,0.0625,0.0877,0.0459,0.0894
1,25.3000,105,1387,214,14365,0.3292,0.9296,0.0615,0.0861,0.0450,0.0881
