window_days,threshold_mm,FPR,POD
1,111.2000,0.0009,0.0093
1,92.9000,0.0017,0.0231
1,85.4000,0.0028,0.0231
1,80.7000,0.0037,0.0324
1,75.9000,0.0046,0.0324
1,71.4000,0.0055,0.0417
1,67.5000,0.0064,0.0463
1,65.0000,0.0073,0.0602
1,63.2000,0.0082,0.0648
1,61.4000,0.0091,0.0648
1,59.2000,0.0102,0.0694
1,57.5000,0.0112,0.0694
1,56.5000,0.0121,0.0787
1,55.3000,0.0130,0.0880
1,54.0000,0.0138,0.0972
1,52.5000,0.0148,0.0972
1,51.5000,0.0158,0.1019
1,50.6000,0.0167,0.1065
1,49.4000,0.0176,0.1204
1,48.4000,0.0184,0.1343
1,47.3000,0.0194,0.1343
1,46.5000,0.0203,0.1389
1,45.2000,0.0212,0.1389
1,44.3000,0.0223,0.1389
1,43.2000,0.0231,0.1435
1,42.6000,0.0242,0.1435
1,42.0000,0.0251,0.1574
1,41.4000,0.0260,0.1667
1,40.8000,0.0269,0.1759
1,40.0000,0.0278,0.1806
1,39.2000,0.0289,0.1852
1,38.7000,0.0297,0.1944
1,38.1000,0.0305,0.1944
1,37.5000,0.0317,0.1944
1,36.8000,0.0325,0.2083
1,36.3000,0.0334,0.2130
1,35.9000,0.0345,0.2176
1,35.6000,0.0353,0.2176
1,35.2000,0.0363,0.2176
1,34.5000,0.0375,0.2176
1,34.3000,0.0383,0.2269
1,33.8000,0.0392,0.2361
1,33.4000,0.0401,0.2361
1,32.9000,0.0407,0.2500
1,32.4000,0.0420,0.2500
1,32.0000,0.0430,0.2593
1,31.7000,0.0435,0.2731
1,31.4000,0.0448,0.2778
1,31.0000,0.0456,0.2870
1,30.8000,0.0464,0.2870
1,30.2000,0.0475,0.2917
1,29.8000,0.0484,0.2963
1,29.4000,0.0494,0.3009
1,29.1000,0.0504,0.3009
1,28.8000,0.0512,0.3148
1,28.3000,0.0522,0.3194
1,27.7000,0.0532,0.3194
1,27.4000,0.0542,0.3194
1,27.0000,0.0553,0.3194
1,26.7000,0.0561,0.3287
1,26.5000,0.0570,0.3380
1,26.3000,0.0578,0.3380
1,25.9000,0.0588,0.3472
1,25.6000,0.0597,0.3519
1,25.3000,0.0606,0.3519
1,25.0000,0.0617,0.3565
1,24.7000,0.0628,0.3657
1,24.3000,0.0638,0.3704
1,24.1000,0.0645,0.3704
1,23.8000,0.0658,0.3704
1,23.6000,0.0666,0.3704
1,23.3000,0.0677,0.3750
1,23.2000,0.0681,0.3750
1,22.9000,0.0695,0.3796
1,22.5000,0.0706,0.3843
1,22.3000,0.0713,0.3843
1,22.1000,0.0723,0.3889
1,21.9000,0.0732,0.3889
1,21.6000,0.0745,0.3889
1,21.4000,0.0753,0.3889
1,21.2000,0.0765,0.3889
1,20.8000,0.0776,0.4074
1,20.7000,0.0781,0.4074
1,20.4000,0.0791,0.4120
1,20.0000,0.0802,0.4120
1,19.8000,0.0813,0.4213
1,19.6000,0.0820,0.4213
1,19.3000,0.0831,0.4352
1,19.1000,0.0838,0.4398
1,18.9000,0.0849,0.4398
1,18.7000,0.0858,0.4398
1,18.5000,0.0867,0.4444
1,18.3000,0.0875,0.4491
1,18.0000,0.0887,0.4537
1,17.8000,0.0895,0.4630
1,17.5000,0.0906,0.4630
1,17.4000,0.0911,0.4676
1,17.2000,0.0925,0.4722
1,17.0000,0.0933,0.4769
1,16.8000,0.0940,0.4815
2,194.6000,0.0011,0.0046
2,161.8000,0.0021,0.0093
2,144.7000,0.0031,0.0185
2,137.2000,0.0039,0.0417
2,129.6000,0.0049,0.0463
2,123.1000,0.0059,0.0602
2,118.9000,0.0069,0.0648
2,114.4000,0.0078,0.0741
2,111.4000,0.0090,0.0787
2,108.0000,0.0100,0.0833
2,104.3000,0.0110,0.0880
2,101.8000,0.0120,0.0972
2,99.5000,0.0130,0.1019
2,96.7000,0.0140,0.1111
2,93.3000,0.0151,0.1111
2,90.8000,0.0160,0.1157
2,88.9000,0.0173,0.1157
2,87.3000,0.0182,0.1296
2,84.3000,0.0190,0.1389
2,83.1000,0.0201,0.1481
2,81.9000,0.0209,0.1574
2,80.1000,0.0220,0.1620
2,78.5000,0.0231,0.1713
2,77.1000,0.0242,0.1713
2,75.2000,0.0254,0.1713
2,74.0000,0.0263,0.1759
2,73.3000,0.0272,0.1944
2,72.4000,0.0283,0.1944
2,71.6000,0.0295,0.1991
2,69.9000,0.0303,0.2130
2,69.4000,0.0313,0.2176
2,68.6000,0.0325,0.2222
2,67.4000,0.0335,0.2222
2,67.0000,0.0344,0.2315
2,66.0000,0.0355,0.2361
2,65.3000,0.0364,0.2361
2,64.3000,0.0378,0.2407
2,63.2000,0.0389,0.2407
2,62.5000,0.0398,0.2454
2,61.7000,0.0410,0.2454
2,60.7000,0.0420,0.2500
2,60.3000,0.0430,0.2500
2,59.7000,0.0441,0.2593
2,59.1000,0.0451,0.2639
2,58.5000,0.0460,0.2731
2,57.8000,0.0471,0.2778
2,57.2000,0.0480,0.2917
2,56.4000,0.0492,0.2917
2,55.9000,0.0505,0.2917
2,55.4000,0.0513,0.2917
2,54.8000,0.0525,0.2917
2,54.3000,0.0535,0.2963
2,53.8000,0.0546,0.3056
2,53.1000,0.0555,0.3102
2,52.3000,0.0563,0.3194
2,51.7000,0.0577,0.3241
2,51.3000,0.0585,0.3241
2,50.8000,0.0596,0.3333
2,50.3000,0.0606,0.3380
2,49.6000,0.0617,0.3426
2,49.1000,0.0627,0.3519
2,48.6000,0.0638,0.3519
2,48.2000,0.0647,0.3611
