window_days,threshold_mm,H,F,M,C,POD,FAR,CSI,HSS,ETS,FPR
1,16.8000,104,1491,112,14364,0.4815,0.9348,0.0609,0.0934,0.0490,0.0940
1,17.0000,103,1480,113,14375,0.4769,0.9349,0.0607,0.0931,0.0488,0.0933
1,17.2000,102,1466,114,14389,0.4722,0.9349,0.0606,0.0929,0.0487,0.0925
1,17.4000,101,1445,115,14410,0.4676,0.9347,0.0608,0.0933,0.0489,0.0911
1,17.5000,100,1436,116,14419,0.4630,0.9349,0.0605,0.0928,0.0486,0.0906
1,17.8000,100,1419,116,14436,0.4630,0.9342,0.0612,0.0940,0.0493,0.0895
1,18.0000,98,1407,118,14448,0.4537,0.9349,0.0604,0.0926,0.0485,0.0887
1,18.3000,97,1388,119,14467,0.4491,0.9347,0.0605,0.0928,0.0486,0.0875
1,18.5000,96,1374,120,14481,0.4444,0.9347,0.0604,0.0926,0.0486,0.0867
1,18.7000,95,1361,121,14494,0.4398,0.9348,0.0602,0.0924,0.0484,0.0858
1,18.9000,95,1346,121,14509,0.4398,0.9341,0.0608,0.0935,0.0490,0.0849
1,19.1000,95,1328,121,14527,0.4398,0.9332,0.0615,0.0948,0.0498,0.0838
1,19.3000,94,1317,122,14538,0.4352,0.9334,0.0613,0.0944,0.0496,0.0831
1,19.6000,91,1300,125,14555,0.4213,0.9346,0.0600,0.0921,0.0483,0.0820
1,19.8000,91,1289,125,14566,0.4213,0.9341,0.0605,0.0930,0.0487,0.0813
1,20.0000,89,1271,127,14584,0.4120,0.9346,0.0599,0.0919,0.0482,0.0802
1,20.4000,89,1254,127,14601,0.4120,0.9337,0.0605,0.0932,0.0489,0.0791
1,20.7000,88,1238,128,14617,0.4074,0.9336,0.0605,0.0932,0.0489,0.0781
1,20.8000,88,1230,128,14625,0.4074,0.9332,0.0609,0.0938,0.0492,0.0776
1,21.2000,84,1213,132,14642,0.3889,0.9352,0.0588,0.0901,0.0472,0.0765
1,21.4000,84,1194,132,14661,0.3889,0.9343,0.0596,0.0916,0.0480,0.0753
1,21.6000,84,1181,132,14674,0.3889,0.9336,0.0601,0.0926,0.0485,0.0745
1,21.9000,84,1161,132,14694,0.3889,0.9325,0.0610,0.0942,0.0495,0.0732
1,22.1000,84,1146,132,14709,0.3889,0.9317,0.0617,0.0955,0.0501,0.0723
1,22.3000,83,1130,133,14725,0.3843,0.9316,0.0617,0.0955,0.0502,0.0713
1,22.5000,83,1119,133,14736,0.3843,0.9309,0.0622,0.0965,0.0507,0.0706
1,22.9000,82,1102,134,14753,0.3796,0.9307,0.0622,0.0966,0.0508,0.0695
1,23.2000,81,1080,135,14775,0.3750,0.9302,0.0625,0.0972,0.0511,0.0681
1,23.3000,81,1074,135,14781,0.3750,0.9299,0.0628,0.0977,0.0514,0.0677
1,23.6000,80,1056,136,14799,0.3704,0.9296,0.0629,0.0980,0.0515,0.0666
1,23.8000,80,1043,136,14812,0.3704,0.9288,0.0635,0.0992,0.0522,0.0658
1,24.1000,80,1022,136,14833,0.3704,0.9274,0.0646,0.1012,0.0533,0.0645
1,24.3000,80,1011,136,14844,0.3704,0.9267,0.0652,0.1023,0.0539,0.0638
1,24.7000,79,995,137,14860,0.3657,0.9264,0.0652,0.1024,0.0540,0.0628
1,25.0000,77,978,139,14877,0.3565,0.9270,0.0645,0.1011,0.0532,0.0617
1,25.3000,76,961,140,14894,0.3519,0.9267,0.0646,0.1013,0.0534,0.0606
1,25.6000,76,946,140,14909,0.3519,0.9256,0.0654,0.1029,0.0542,0.0597
1,25.9000,75,932,141,14923,0.3472,0.9255,0.0653,0.1028,0.0542,0.0588
1,26.3000,73,916,143,14939,0.3380,0.9262,0.0645,0.1013,0.0534,0.0578
1,26.5000,73,904,143,14951,0.3380,0.9253,0.0652,0.1026,0.0541,0.0570
1,26.7000,71,890,145,14965,0.3287,0.9261,0.0642,0.1009,0.0531,0.0561
1,27.0000,69,876,147,14979,0.3194,0.9270,0.0632,0.0992,0.0522,0.0553
1,27.4000,69,859,147,14996,0.3194,0.9256,0.0642,0.1010,0.0532,0.0542
1,27.7000,69,844,147,15011,0.3194,0.9244,0.0651,0.1027,0.0541,0.0532
1,28.3000,69,827,147,15028,0.3194,0.9230,0.0662,0.1047,0.0552,0.0522
1,28.8000,68,811,148,15044,0.3148,0.9226,0.0662,0.1049,0.0553,0.0512
1,29.1000,65,799,151,15056,0.3009,0.9248,0.0640,0.1010,0.0532,0.0504
1,29.4000,65,784,151,15071,0.3009,0.9234,0.0650,0.1028,0.0542,0.0494
1,29.8000,64,767,152,15088,0.2963,0.9230,0.0651,0.1031,0.0544,0.0484
1,30.2000,63,753,153,15102,0.2917,0.9228,0.0650,0.1030,0.0543,0.0475
1,30.8000,62,736,154,15119,0.2870,0.9223,0.0651,0.1033,0.0545,0.0464
1,31.0000,62,723,154,15132,0.2870,0.9210,0.0660,0.1050,0.0554,0.0456
