window_days,threshold_mm,FPR,POD
1,45.2000,0.0007,0.0000
1,39.4000,0.0014,0.0000
1,36.7000,0.0021,0.0097
1,34.8000,0.0028,0.0097
1,33.2000,0.0035,0.0097
1,31.8000,0.0043,0.0097
1,30.2000,0.0050,0.0097
1,29.6000,0.0056,0.0194
1,28.3000,0.0063,0.0388
1,27.3000,0.0069,0.0485
1,26.6000,0.0077,0.0583
1,25.7000,0.0083,0.0583
1,25.2000,0.0091,0.0680
1,24.7000,0.0097,0.0874
1,24.1000,0.0104,0.0874
1,23.4000,0.0111,0.0971
1,22.9000,0.0117,0.1068
1,22.5000,0.0123,0.1262
1,21.9000,0.0130,0.1262
1,21.4000,0.0138,0.1262
1,21.0000,0.0144,0.1262
1,20.6000,0.0152,0.1262
1,20.2000,0.0160,0.1262
1,19.7000,0.0166,0.1262
1,19.3000,0.0173,0.1262
1,18.9000,0.0181,0.1262
1,18.6000,0.0188,0.1262
1,18.3000,0.0195,0.1262
1,18.1000,0.0200,0.1262
1,17.7000,0.0210,0.1262
1,17.4000,0.0216,0.1262
1,17.2000,0.0221,0.1262
1,16.9000,0.0229,0.1262
1,16.7000,0.0235,0.1456
1,16.2000,0.0244,0.1456
1,16.0000,0.0250,0.1553
1,15.7000,0.0259,0.1553
1,15.5000,0.0266,0.1553
1,15.3000,0.0272,0.1553
1,15.1000,0.0277,0.1650
1,14.9000,0.0284,0.1650
1,14.7000,0.0292,0.1748
1,14.5000,0.0300,0.1748
1,14.3000,0.0307,0.1748
1,14.1000,0.0314,0.1748
1,14.0000,0.0320,0.1748
1,13.7000,0.0328,0.1845
1,13.6000,0.0334,0.1845
1,13.4000,0.0340,0.1942
1,13.1000,0.0350,0.1942
1,12.9000,0.0357,0.2039
1,12.8000,0.0361,0.2039
1,12.6000,0.0368,0.2136
1,12.4000,0.0380,0.2233
1,12.3000,0.0383,0.2330
1,12.1000,0.0391,0.2427
1,12.0000,0.0395,0.2427
1,11.8000,0.0405,0.2524
1,11.7000,0.0411,0.2621
1,11.6000,0.0415,0.2621
1,11.4000,0.0424,0.2718
1,11.2000,0.0433,0.2718
1,11.1000,0.0438,0.2816
1,10.9000,0.0447,0.3010
1,10.8000,0.0450,0.3107
1,10.7000,0.0457,0.3107
1,10.6000,0.0463,0.3107
1,10.5000,0.0470,0.3204
1,10.3000,0.0480,0.3301
1,10.2000,0.0483,0.3398
1,10.0000,0.0491,0.3495
1,9.9000,0.0496,0.3592
1,9.7000,0.0508,0.3689
1,9.6000,0.0516,0.3689
1,9.5000,0.0521,0.3786
1,9.4000,0.0528,0.3786
1,9.3000,0.0534,0.3981
1,9.1000,0.0544,0.4175
1,9.0000,0.0551,0.4175
1,8.8000,0.0564,0.4272
1,8.7000,0.0571,0.4466
1,8.6000,0.0576,0.4466
1,8.5000,0.0582,0.4563
1,8.4000,0.0586,0.4563
1,8.3000,0.0593,0.4563
1,8.2000,0.0599,0.4563
1,8.1000,0.0607,0.4563
1,8.0000,0.0615,0.4660
1,7.9000,0.0623,0.4660
1,7.8000,0.0627,0.4660
1,7.7000,0.0639,0.4757
1,7.6000,0.0647,0.4854
1,7.5000,0.0656,0.5049
1,7.4000,0.0665,0.5049
1,7.3000,0.0675,0.5243
1,7.1000,0.0687,0.5437
1,7.0000,0.0693,0.5534
2,80.3000,0.0008,0.0000
2,73.4000,0.0016,0.0000
2,67.7000,0.0024,0.0097
2,64.3000,0.0032,0.0097
2,61.4000,0.0039,0.0194
2,58.2000,0.0047,0.0194
2,55.8000,0.0056,0.0291
2,54.0000,0.0062,0.0291
2,51.9000,0.0070,0.0388
2,50.7000,0.0078,0.0583
2,48.9000,0.0085,0.0680
2,47.7000,0.0093,0.0874
2,46.5000,0.0099,0.1068
2,45.3000,0.0109,0.1068
2,44.6000,0.0115,0.1068
2,43.4000,0.0123,0.1068
2,42.2000,0.0132,0.1165
2,41.2000,0.0139,0.1165
2,40.3000,0.0146,0.1165
2,39.5000,0.0154,0.1262
2,38.8000,0.0162,0.1359
2,37.9000,0.0171,0.1359
2,37.4000,0.0178,0.1359
2,36.6000,0.0186,0.1359
2,35.9000,0.0194,0.1359
2,35.4000,0.0202,0.1359
2,34.7000,0.0211,0.1359
2,34.2000,0.0218,0.1359
2,33.6000,0.0226,0.1359
2,33.1000,0.0235,0.1359
2,32.5000,0.0242,0.1456
2,32.1000,0.0250,0.1456
2,31.6000,0.0258,0.1456
2,31.2000,0.0265,0.1456
2,30.5000,0.0273,0.1456
2,29.9000,0.0283,0.1553
2,29.4000,0.0289,0.1650
2,28.7000,0.0298,0.1845
2,28.3000,0.0305,0.1845
2,27.8000,0.0313,0.1845
2,27.4000,0.0319,0.1942
2,26.8000,0.0328,0.1942
2,26.4000,0.0336,0.1942
2,26.0000,0.0344,0.1942
2,25.7000,0.0351,0.2039
2,25.3000,0.0359,0.2039
2,24.9000,0.0366,0.2136
2,24.4000,0.0375,0.2136
2,24.0000,0.0383,0.2136
2,23.6000,0.0390,0.2427
2,23.2000,0.0397,0.2524
2,22.9000,0.0406,0.2524
2,22.7000,0.0413,0.2621
2,22.5000,0.0420,0.2718
2,22.2000,0.0429,0.2816
2,22.0000,0.0434,0.2816
2,21.6000,0.0444,0.2816
2,21.2000,0.0452,0.2913
2,20.9000,0.0458,0.2913
2,20.7000,0.0464,0.3107
2,20.4000,0.0473,0.3301
2,20.1000,0.0483,0.3301
2,19.9000,0.0492,0.3398
2,19.7000,0.0497,0.3592
2,19.5000,0.0503,0.3883
2,19.3000,0.0511,0.3883
2,19.0000,0.0520,0.3981
2,18.7000,0.0529,0.3981
2,18.5000,0.0537,0.4078
2,18.4000,0.0541,0.4078
2,18.1000,0.0553,0.4078
2,17.9000,0.0558,0.4175
2,17.6000,0.0568,0.4175
2,17.4000,0.0574,0.4272
2,17.2000,0.0581,0.4272
2,16.9000,0.0592,0.4563
2,16.7000,0.0600,0.4563
2,16.6000,0.0604,0.4563
2,16.4000,0.0610,0.4563
2,16.2000,0.0621,0.4660
2,16.0000,0.0628,0.4660
2,15.8000,0.0637,0.4757
2,15.7000,0.0642,0.4757
2,15.4000,0.0653,0.4757
2,15.3000,0.0659,0.4854
2,15.0000,0.0668,0.4951
2,14.9000,0.0674,0.4951
2,14.6000,0.0683,0.5243
2,14.4000,0.0690,0.5340
2,14.2000,0.0700,0.5534
2,14.1000,0.0705,0.5631
2,13.9000,0.0713,0.5631
2,13.7000,0.0719,0.5631
2,13.4000,0.0729,0.5728
2,13.3000,0.0735,0.5825
2,13.1000,0.0742,0.5825
2,12.9000,0.0751,0.6117
2,12.7000,0.0757,0.6311
2,12.5000,0.0768,0.6311
2,12.3000,0.0773,0.6408
3,107.3000,0.0009,0.0000
3,99.8000,0.0017,0.0000
3,93.8000,0.0026,0.0000
3,88.6000,0.0033,0.0097
3,84.2000,0.0042,0.0194
3,81.1000,0.0050,0.0291
3,78.1000,0.0058,0.0388
3,76.0000,0.0066,0.0388
3,73.0000,0.0073,0.0874
3,71.5000,0.0082,0.0874
3,68.9000,0.0090,0.0971
3,67.5000,0.0098,0.1068
3,65.2000,0.0106,0.1068
3,63.7000,0.0115,0.1068
3,62.2000,0.0123,0.1165
3,60.6000,0.0132,0.1165
3,58.9000,0.0140,0.1165
3,57.8000,0.0149,0.1165
3,56.5000,0.0157,0.1165
3,55.7000,0.0166,0.1165
3,55.0000,0.0174,0.1165
3,53.8000,0.0182,0.1262
3,52.9000,0.0190,0.1262
3,51.8000,0.0199,0.1262
3,51.1000,0.0208,0.1262
3,50.1000,0.0216,0.1262
3,48.8000,0.0224,0.1359
3,48.1000,0.0233,0.1359
3,47.1000,0.0241,0.1359
3,46.2000,0.0249,0.1456
3,45.6000,0.0258,0.1553
3,44.8000,0.0266,0.1553
3,44.2000,0.0273,0.1650
3,43.6000,0.0281,0.1650
3,42.8000,0.0291,0.1650
3,42.0000,0.0299,0.1650
3,41.6000,0.0307,0.1650
3,40.7000,0.0317,0.1650
3,40.3000,0.0325,0.1650
3,39.7000,0.0333,0.1650
3,39.3000,0.0341,0.1845
3,38.6000,0.0350,0.1845
3,38.0000,0.0359,0.1845
3,37.4000,0.0366,0.1942
3,36.9000,0.0376,0.1942
3,36.4000,0.0383,0.2136
3,35.9000,0.0390,0.2330
3,35.3000,0.0399,0.2330
3,34.7000,0.0407,0.2330
3,34.2000,0.0415,0.2330
3,33.7000,0.0423,0.2621
3,33.1000,0.0431,0.2621
3,32.6000,0.0439,0.2718
3,32.1000,0.0448,0.2913
3,31.7000,0.0456,0.2913
3,31.3000,0.0464,0.3107
3,30.7000,0.0472,0.3204
3,30.2000,0.0480,0.3398
3,29.7000,0.0487,0.3592
3,29.4000,0.0495,0.3592
3,29.0000,0.0505,0.3592
3,28.6000,0.0512,0.3592
3,28.2000,0.0520,0.3592
3,27.8000,0.0530,0.3592
3,27.5000,0.0538,0.3786
3,27.2000,0.0546,0.3883
3,26.8000,0.0553,0.3981
3,26.4000,0.0562,0.4078
3,26.1000,0.0570,0.4175
3,25.7000,0.0578,0.4175
3,25.4000,0.0588,0.4272
