window_days,threshold_mm,H,F,M,C,POD,FAR,CSI,HSS,ETS,FPR
1,7.0000,57,1891,46,25399,0.5534,0.9707,0.0286,0.0488,0.0250,0.0693
1,7.1000,56,1875,47,25415,0.5437,0.9710,0.0283,0.0483,0.0247,0.0687
1,7.3000,54,1843,49,25447,0.5243,0.9715,0.0277,0.0472,0.0242,0.0675
1,7.4000,52,1815,51,25475,0.5049,0.9721,0.0271,0.0460,0.0235,0.0665
1,7.5000,52,1790,51,25500,0.5049,0.9718,0.0275,0.0467,0.0239,0.0656
1,7.6000,50,1767,53,25523,0.4854,0.9725,0.0267,0.0453,0.0232,0.0647
1,7.7000,49,1744,54,25546,0.4757,0.9727,0.0265,0.0449,0.0230,0.0639
1,7.8000,48,1712,55,25578,0.4660,0.9727,0.0264,0.0447,0.0229,0.0627
1,7.9000,48,1700,55,25590,0.4660,0.9725,0.0266,0.0451,0.0231,0.0623
1,8.0000,48,1679,55,25611,0.4660,0.9722,0.0269,0.0457,0.0234,0.0615
1,8.1000,47,1656,56,25634,0.4563,0.9724,0.0267,0.0453,0.0232,0.0607
1,8.2000,47,1635,56,25655,0.4563,0.9721,0.0270,0.0459,0.0235,0.0599
1,8.3000,47,1618,56,25672,0.4563,0.9718,0.0273,0.0464,0.0238,0.0593
1,8.4000,47,1599,56,25691,0.4563,0.9714,0.0276,0.0470,0.0241,0.0586
1,8.5000,47,1589,56,25701,0.4563,0.9713,0.0278,0.0473,0.0242,0.0582
1,8.6000,46,1573,57,25717,0.4466,0.9716,0.0274,0.0467,0.0239,0.0576
1,8.7000,46,1558,57,25732,0.4466,0.9713,0.0277,0.0472,0.0242,0.0571
1,8.8000,44,1538,59,25752,0.4272,0.9722,0.0268,0.0455,0.0233,0.0564
1,9.0000,43,1504,60,25786,0.4175,0.9722,0.0268,0.0454,0.0232,0.0551
1,9.1000,43,1484,60,25806,0.4175,0.9718,0.0271,0.0460,0.0236,0.0544
1,9.3000,41,1456,62,25834,0.3981,0.9726,0.0263,0.0445,0.0228,0.0534
1,9.4000,39,1440,64,25850,0.3786,0.9736,0.0253,0.0426,0.0217,0.0528
1,9.5000,39,1423,64,25867,0.3786,0.9733,0.0256,0.0431,0.0220,0.0521
1,9.6000,38,1407,65,25883,0.3689,0.9737,0.0252,0.0424,0.0216,0.0516
1,9.7000,38,1387,65,25903,0.3689,0.9733,0.0255,0.0430,0.0220,0.0508
1,9.9000,37,1354,66,25936,0.3592,0.9734,0.0254,0.0428,0.0219,0.0496
1,10.0000,36,1340,67,25950,0.3495,0.9738,0.0249,0.0420,0.0214,0.0491
1,10.2000,35,1318,68,25972,0.3398,0.9741,0.0246,0.0414,0.0211,0.0483
1,10.3000,34,1309,69,25981,0.3301,0.9747,0.0241,0.0403,0.0206,0.0480
1,10.5000,33,1282,70,26008,0.3204,0.9749,0.0238,0.0398,0.0203,0.0470
1,10.6000,32,1263,71,26027,0.3107,0.9753,0.0234,0.0391,0.0199,0.0463
1,10.7000,32,1247,71,26043,0.3107,0.9750,0.0237,0.0396,0.0202,0.0457
1,10.8000,32,1229,71,26061,0.3107,0.9746,0.0240,0.0402,0.0205,0.0450
1,10.9000,31,1219,72,26071,0.3010,0.9752,0.0234,0.0391,0.0200,0.0447
1,11.1000,29,1194,74,26096,0.2816,0.9763,0.0224,0.0371,0.0189,0.0438
1,11.2000,28,1183,75,26107,0.2718,0.9769,0.0218,0.0359,0.0183,0.0433
1,11.4000,28,1158,75,26132,0.2718,0.9764,0.0222,0.0368,0.0187,0.0424
1,11.6000,27,1133,76,26157,0.2621,0.9767,0.0218,0.0361,0.0184,0.0415
1,11.7000,27,1121,76,26169,0.2621,0.9765,0.0221,0.0365,0.0186,0.0411
1,11.8000,26,1105,77,26185,0.2524,0.9770,0.0215,0.0355,0.0181,0.0405
1,12.0000,25,1078,78,26212,0.2427,0.9773,0.0212,0.0348,0.0177,0.0395
1,12.1000,25,1067,78,26223,0.2427,0.9771,0.0214,0.0352,0.0179,0.0391
1,12.3000,24,1045,79,26245,0.2330,0.9775,0.0209,0.0343,0.0175,0.0383
1,12.4000,23,1036,80,26254,0.2233,0.9783,0.0202,0.0330,0.0168,0.0380
1,12.6000,22,1005,81,26285,0.2136,0.9786,0.0199,0.0323,0.0164,0.0368
1,12.8000,21,986,82,26304,0.2039,0.9791,0.0193,0.0312,0.0159,0.0361
1,12.9000,21,974,82,26316,0.2039,0.9789,0.0195,0.0317,0.0161,0.0357
1,13.1000,20,956,83,26334,0.1942,0.9795,0.0189,0.0305,0.0155,0.0350
1,13.4000,20,927,83,26363,0.1942,0.9789,0.0194,0.0315,0.0160,0.0340
1,13.6000,19,911,84,26379,0.1845,0.9796,0.0187,0.0302,0.0153,0.0334
1,13.7000,19,896,84,26394,0.1845,0.9792,0.0190,0.0308,0.0156,0.0328
1,14.0000,18,872,85,26418,0.1748,0.9798,0.0185,0.0297,0.0151,0.0320
1,14.1000,18,858,85,26432,0.1748,0.9795,0.0187,0.0302,0.0154,0.0314
1,14.3000,18,837,85,26453,0.1748,0.9789,0.0191,0.0311,0.0158,0.0307
1,14.5000,18,818,85,26472,0.1748,0.9785,0.0195,0.0319,0.0162,0.0300
1,14.7000,18,797,85,26493,0.1748,0.9779,0.0200,0.0328,0.0167,0.0292
1,14.9000,17,775,86,26515,0.1650,0.9785,0.0194,0.0315,0.0160,0.0284
1,15.1000,17,757,86,26533,0.1650,0.9780,0.0198,0.0323,0.0164,0.0277
1,15.3000,16,741,87,26549,0.1553,0.9789,0.0190,0.0308,0.0156,0.0272
1,15.5000,16,726,87,26564,0.1553,0.9784,0.0193,0.0315,0.0160,0.0266
1,15.7000,16,706,87,26584,0.1553,0.9778,0.0198,0.0324,0.0165,0.0259
